人;rén<br>Человек
你;nǐ<br>Ты, вы
小;xiǎo<br>Маленький
大;dà<br>Большой
好;hǎo<br>Хорошо
马;mǎ<br>Лошадь
吗;ma<br>Вопросительная частица для образования общего вопроса
妈妈;māma<br>Мама
我;wǒ<br>Я
很;hěn<br>Очень
呢;ne<br>Вопросительная частица для переспроса
也;yě<br>Тоже, также
一;yī<br>Один
二;èr<br>Два
三;sān<br>Три
四;sì<br>Четыре
五;wǔ<br>Пять
六;liù<br>Шесть
七;qī<br>Семь
八;bā<br>Восемь
九;jiǔ<br>Девять
十;shí<br>Десять
十一;shí yī<br>Одиннадцать
十二;shí èr<br>Двенадцать
叫;jiào<br>Звать
什么;shénme<br>Что, какой
名字;míngzi<br>Имя
贵;guì<br>Дорогой
姓;xìng<br>Фамилия
认识;rènshi<br>Быть знакомым с ...
高;gāo<br>Высокий
高兴;gāoxìng<br>Рад
朋友;péngyou<br>Друг
朋友们;péngyoumen<br>Друзья
老师;lǎoshī<br>Учитель
家;jiā<br>Семья, дом
大家;dàjiā<br>Все
我们;wǒmen<br>Мы
你们;nǐmen<br>Вы (множественное число)
您;nín<br>Вы (уважительное)
您们;nínmen<br>Вы (уважительное, множественное число)
他;tā<br>Он
他们;tāmen<br>Они (Разнополая компания)
她;tā<br>Она
她们;tāmen<br>Они (Женская Компания)
它;tā<br>Он, она, оно (Неодушевленные предметы, Животные)
它们;tāmen<br>Они (Неодушевленные предметы, Животные)
对;duì<br>Верно, правильно, да
不;bù<br>Нет, не (в настоящем и будущем времени)
对不起;duìbuqǐ<br>Извините
没;méi<br>Нет (в прошедшем времени)
关;guān<br>Закрыть
再;zài<br>Снова
见;jiàn<br>Видеть
再见;zàijiàn<br>До свидания, пока
是;shì<br>Быть, являться
国;guó<br>Страна
中国;zhōngguó<br>Китай
中国人;zhōngguórén<br>Китаец
美;měi<br>Красивый
美国;měiguó<br>Америка
美国人;měiguórén<br>Американец
俄罗斯;éluósī<br>Россия
俄国;éguó<br>Россия
俄国人;éguórén<br>Русский
学习;xuéxí<br>Учиться
学生;xuésheng<br>Ученик
同学;tóngxué<br>Одноклассник
大学;dàxué<br>Университет
汉语;hànyǔ<br>Китайский язык
的;de<br>Определительная частица
谁;shéi<br>Кто? Чей?
哪;nǎ<br>Какой?
忙;máng<br>Занят, занятой
哥哥;gēge<br>Старший брат
弟弟;dìdi<br>Младший брат
都;dōu<br>Все, всё (обобщающее слово)
爸爸;bàba<br>Папа
爷爷;yéye<br>Дедушка
